N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity,seed
300,3,5,high-degree,True,0.1,0.011438772811425548,15124,173,40734,18851,0.46278293317621644,0.9130434782608695,0.002618617120768128,0.005222256760957413,48,46,0.3515789163688542,12729,2.512266625520753,14789,2.5900967250945155,0.8637010850886238,1
200,1,5,random,True,0.1,0.01822176272938744,7738,141,22359,8315,0.37188604141509013,0.8902439024390244,0.010322398190045249,0.02040816326530612,69,82,0.3705138813549807,7905,2.3842527109853844,7005,2.6193926383111945,0.8506641620823829,1
300,3,5,cluster,True,0.1,0.011402359108781127,15260,174,40935,18912,0.46200073286918286,0.7804878048780488,0.0019951368539185737,0.003980099502487562,40,41,0.34807012881113814,12869,2.523802327338673,14761,2.589348967875901,0.8639306217173568,1
200,3,5,random,False,0.0,0.02792607802874743,2435,68,14011,0,0.0,0.9375,0.0021210407239819003,0.004232505643340857,20,16,0.3481075520378115,7872,2.369446424328819,5815,2.6392834201698667,0.9039326243665691,1
150,3,5,cluster,False,0.0,0.03724604966139955,1772,66,10212,0,0.0,1.0,0.005840528186896902,0.011613228982580156,23,23,0.37559100368820447,5628,2.3673664122137406,3643,2.704171562867215,0.8852330591461026,1
300,1,5,random,True,0.1,0.012372728444387164,15518,192,42346,20446,0.48283190856279223,0.9375,0.004676102001371657,0.009305788200260562,80,80,0.3796751383062139,12746,2.4933557354513516,14909,2.5871156661786237,0.8576725074387191,1
50,3,5,random,True,0.05,0.07888040712468193,786,62,3169,470,0.14831177027453454,0.875,0.1346153846153846,0.23333333333333334,38,64,0.4275845596391133,1171,1.78562421185372,474,2.9517197854212687,0.7308299147996213,1
200,3,5,high-degree,True,0.05,0.015731515469323543,7628,120,22136,8174,0.36926273942898447,0.9516129032258065,0.008342760180995475,0.016540510232688536,59,62,0.3807533843773461,7823,2.4022961014111455,6962,2.6180881821467294,0.8445066859414528,1
100,1,5,random,True,0.1,0.03542673107890499,2484,88,8169,1974,0.2416452442159383,0.8734177215189873,0.04013961605584642,0.07675194660734148,63,79,0.38745390856381023,3232,2.2514315460697554,1920,2.8190721018484513,0.8106255355612683,1
75,3,5,cluster,True,0.05,0.05343007915567282,1516,81,5472,1051,0.1920687134502924,0.9027777777777778,0.06792058516196448,0.12633624878522837,44,72,0.39473030770106404,2173,1.971718636693256,1092,2.934393274853801,0.7971491228070176,1
100,1,5,high-degree,False,0.0,0.03785780240073869,1083,41,6239,0,0.0,0.9722222222222222,0.02036067481093659,0.039886039886039885,38,36,0.4112235909665721,3276,2.158953722334004,1834,2.836832825773361,0.8557461131591602,1
200,3,5,high-degree,False,0.0,0.030290281867900715,2377,72,13940,0,0.0,1.0,0.003110859728506787,0.006202424584155624,25,22,0.34036256939131,7801,2.361091170136396,5724,2.6368005738880917,0.901793400286944,1
150,3,5,high-degree,False,0.0,0.03209459459459459,1776,57,10238,0,0.0,0.9230769230769231,0.006094464195022855,0.012108980827447024,28,26,0.39453896398354904,5654,2.3802507836990596,3686,2.7044344598554404,0.8824965813635476,1
100,1,5,random,False,0.0,0.049010367577756835,1061,52,6206,0,0.0,0.918918918918919,0.01977894124490983,0.03872437357630979,35,37,0.4018150394977003,3243,2.1834016393442623,1803,2.8271028037383177,0.85336770866903,1
50,3,5,random,True,0.1,0.06829268292682927,820,56,3262,527,0.1615573267933783,0.76,0.13701923076923078,0.23217922606924643,42,75,0.42133094043277153,1207,1.8323207776427703,479,2.9659717964438994,0.7323727774371551,1
400,1,5,random,True,0.1,0.008371479236257166,24249,203,63188,34073,0.5392321326834209,0.9242424242424242,0.002139525095577146,0.004269167512335095,67,66,0.37031671337506505,17168,2.53947523238028,24842,2.580300056972843,0.8671899727796417,1
400,1,5,cluster,True,0.05,0.00904864685372738,24092,218,62897,33775,0.5369890455824602,0.8913043478260869,0.0014380414576829995,0.0028714500822915575,45,46,0.36195231826103774,17175,2.536433195997646,24756,2.581045200883985,0.8686105855605196,1
75,1,5,cluster,True,0.05,0.03973941368078176,1535,61,5513,1105,0.2004353346635226,0.8846153846153846,0.07210031347962383,0.1333333333333333,39,78,0.4082382613047857,2160,2.0409057706355003,1091,2.9457645565028114,0.7961182659169236,1
