N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,2,5,random,False,0.061,0.228,0.947,0.13,0.0,2.961,0.763,1189,470
50,2,5,cluster,True,0.063,0.227,0.915,0.13,0.142,2.987,0.737,1163,469
50,2,5,random,True,0.063,0.248,0.896,0.144,0.155,2.974,0.74,1167,467
50,3,5,random,False,0.064,0.183,0.955,0.101,0.0,2.954,0.751,1157,456
50,2,10,high-degree,True,0.065,0.447,0.892,0.298,0.144,2.963,0.746,1181,467
50,2,5,high-degree,True,0.07,0.272,0.943,0.159,0.156,2.977,0.746,1171,473
50,3,5,random,True,0.07,0.255,0.886,0.149,0.164,2.978,0.733,1178,470
50,1,5,cluster,True,0.071,0.261,0.853,0.154,0.178,2.957,0.728,1166,473
50,3,5,random,True,0.072,0.207,0.845,0.118,0.146,2.989,0.734,1137,467
50,3,10,cluster,True,0.073,0.434,0.902,0.286,0.16,2.977,0.74,1174,475
50,2,5,high-degree,True,0.074,0.306,0.938,0.183,0.149,2.971,0.743,1176,471
50,3,5,cluster,True,0.077,0.253,0.924,0.147,0.147,2.983,0.741,1150,468
50,3,10,cluster,False,0.078,0.367,0.897,0.231,0.0,2.954,0.762,1196,469
50,1,5,high-degree,True,0.08,0.282,0.945,0.166,0.15,2.952,0.739,1124,472
50,2,5,high-degree,False,0.081,0.236,0.966,0.135,0.0,2.951,0.753,1127,465
50,2,5,cluster,True,0.081,0.241,0.879,0.139,0.158,2.963,0.738,1134,467
50,3,5,high-degree,True,0.081,0.291,0.923,0.173,0.144,2.989,0.742,1155,465
50,2,10,high-degree,True,0.081,0.44,0.923,0.288,0.143,2.962,0.737,1173,468
50,3,5,high-degree,True,0.082,0.274,0.918,0.161,0.143,2.97,0.737,1182,467
50,3,10,high-degree,True,0.083,0.435,0.908,0.286,0.167,2.983,0.747,1141,471
50,1,10,random,True,0.083,0.44,0.93,0.288,0.151,2.977,0.735,1141,468
50,3,10,random,True,0.084,0.434,0.895,0.286,0.154,2.969,0.742,1182,469
50,3,5,cluster,True,0.084,0.211,0.862,0.12,0.145,2.981,0.74,1152,468
50,1,10,cluster,True,0.085,0.396,0.891,0.255,0.151,2.965,0.731,1182,470
50,1,5,random,True,0.085,0.251,0.871,0.147,0.146,2.995,0.742,1184,466
50,1,10,cluster,True,0.086,0.427,0.886,0.281,0.143,2.981,0.741,1160,469
50,1,5,high-degree,True,0.087,0.264,0.941,0.154,0.139,2.974,0.736,1175,467
50,1,10,high-degree,True,0.089,0.453,0.919,0.3,0.147,2.969,0.742,1187,471
50,3,10,cluster,True,0.089,0.436,0.915,0.286,0.14,2.996,0.745,1181,472
50,2,10,random,True,0.089,0.403,0.872,0.262,0.146,2.989,0.739,1197,469
50,1,10,high-degree,True,0.09,0.45,0.899,0.3,0.146,2.955,0.74,1168,467
50,1,5,high-degree,False,0.091,0.217,0.962,0.123,0.0,2.961,0.762,1143,464
50,3,10,high-degree,True,0.092,0.454,0.906,0.303,0.149,2.993,0.743,1129,471
50,2,5,random,True,0.092,0.237,0.864,0.137,0.143,2.983,0.75,1168,470
50,1,10,high-degree,False,0.092,0.43,0.966,0.276,0.0,2.972,0.763,1153,469
50,3,5,high-degree,False,0.093,0.247,0.967,0.142,0.0,2.965,0.75,1146,467
50,1,5,cluster,True,0.094,0.226,0.885,0.13,0.145,2.952,0.729,1159,468
50,2,10,random,True,0.097,0.44,0.903,0.291,0.159,2.978,0.744,1175,470
50,2,10,cluster,True,0.097,0.425,0.867,0.281,0.142,2.984,0.748,1182,466
50,3,10,random,True,0.097,0.425,0.867,0.281,0.137,2.983,0.752,1146,474
50,1,5,cluster,False,0.097,0.209,0.925,0.118,0.0,2.967,0.754,1148,462
50,2,10,cluster,False,0.098,0.297,0.892,0.178,0.0,2.96,0.748,1152,472
50,2,5,cluster,False,0.099,0.181,0.894,0.101,0.0,2.953,0.759,1155,461
50,1,5,random,True,0.099,0.206,0.831,0.118,0.151,2.971,0.743,1161,466
