,,,accuracy,accuracy,accuracy,accuracy,graph_f1,graph_f1,dummy_fraction,total_messages
,,,mean,std,min,max,mean,std,mean,mean
N,placement,cover_enabled,,,,,,,,
50,cluster,False,0.082,0.01,0.076,0.089,0.201,0.009,0.0,2822.0
50,cluster,True,0.07,0.015,0.05,0.086,0.23,0.023,0.149,3313.0
50,high-degree,False,0.077,0.004,0.074,0.079,0.23,0.01,0.0,2811.0
50,high-degree,True,0.076,0.005,0.069,0.081,0.271,0.003,0.146,3307.0
50,random,False,0.079,0.009,0.073,0.086,0.211,0.011,0.0,2813.0
50,random,True,0.067,0.006,0.06,0.074,0.231,0.004,0.142,3281.5
75,cluster,False,0.067,0.006,0.062,0.071,0.07,0.005,0.0,4536.0
75,cluster,True,0.053,0.002,0.05,0.055,0.123,0.019,0.195,5605.0
75,high-degree,False,0.06,0.007,0.055,0.064,0.09,0.005,0.0,4511.0
75,high-degree,True,0.041,0.005,0.036,0.047,0.143,0.003,0.2,5609.5
75,random,False,0.048,0.004,0.045,0.051,0.09,0.001,0.0,4530.0
75,random,True,0.043,0.007,0.035,0.052,0.138,0.033,0.281,6564.25
100,cluster,False,0.046,0.004,0.043,0.049,0.038,0.003,0.0,6358.5
100,cluster,True,0.035,0.004,0.031,0.039,0.078,0.007,0.245,8445.25
100,high-degree,False,0.046,0.007,0.041,0.051,0.051,0.002,0.0,6360.5
100,high-degree,True,0.033,0.002,0.031,0.035,0.085,0.003,0.238,8280.75
100,random,False,0.048,0.007,0.043,0.054,0.038,0.003,0.0,6371.0
100,random,True,0.036,0.003,0.032,0.039,0.077,0.003,0.242,8447.0
150,cluster,False,0.031,0.004,0.028,0.034,0.012,0.0,0.0,10255.0
150,cluster,True,0.024,0.003,0.022,0.027,0.033,0.002,0.32,14963.0
150,high-degree,False,0.034,0.001,0.033,0.035,0.013,0.002,0.0,10199.0
150,high-degree,True,0.024,0.003,0.021,0.026,0.036,0.003,0.316,14876.75
150,random,False,0.031,0.003,0.029,0.033,0.014,0.001,0.0,10260.0
150,random,True,0.023,0.001,0.022,0.025,0.033,0.005,0.315,14853.0
200,cluster,False,0.026,0.0,0.026,0.026,0.005,0.001,0.0,13962.0
200,cluster,True,0.018,0.003,0.015,0.022,0.018,0.002,0.381,22584.75
200,high-degree,False,0.026,0.004,0.023,0.028,0.005,0.0,0.0,13893.5
200,high-degree,True,0.017,0.002,0.015,0.019,0.019,0.001,0.384,22629.75
200,random,False,0.027,0.005,0.024,0.031,0.005,0.0,0.0,13932.5
200,random,True,0.018,0.002,0.015,0.02,0.018,0.001,0.379,22511.25
300,cluster,False,0.018,0.001,0.017,0.019,0.002,0.0,0.0,21916.5
300,cluster,True,0.012,0.002,0.01,0.014,0.008,0.001,0.473,42027.25
300,high-degree,False,0.018,0.004,0.016,0.021,0.001,0.0,0.0,21978.0
300,high-degree,True,0.011,0.001,0.01,0.013,0.005,0.001,0.468,41743.25
300,random,False,0.021,0.001,0.02,0.022,0.002,0.0,0.0,22084.0
300,random,True,0.012,0.001,0.011,0.013,0.015,0.018,0.547,57353.25
400,cluster,False,0.015,0.003,0.013,0.018,0.001,0.0,0.0,29727.5
400,cluster,True,0.009,0.001,0.008,0.01,0.004,0.001,0.538,64574.25
400,high-degree,False,0.017,0.002,0.015,0.018,0.001,0.0,0.0,29624.0
400,high-degree,True,0.011,0.0,0.01,0.011,0.003,0.0,0.539,64617.25
400,random,False,0.015,0.0,0.015,0.015,0.001,0.0,0.0,29828.0
400,random,True,0.01,0.001,0.009,0.011,0.003,0.001,0.538,64327.75
